dataset,pred_len,config_name,activation_signature,required_seed_runs,completed_seed_runs,complete_3seeds
ETTh1,24,enc_gelu_dec_tanh,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,3,0,False
ETTh1,24,enc_tanh_dec_gelu,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,3,0,False
ETTh1,24,gelu_all,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,3,0,False
ETTh1,24,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,3,0,False
ETTh1,24,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,3,0,False
ETTh1,24,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,3,0,False
ETTh1,24,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,3,0,False
ETTh1,24,tanh_all_outtanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,3,0,False
ETTh1,24,tanh_sin001_all,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,3,0,False
ETTh1,48,enc_gelu_dec_tanh,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,3,0,False
ETTh1,48,enc_tanh_dec_gelu,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,3,0,False
ETTh1,48,gelu_all,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,3,0,False
ETTh1,48,relu_all,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,3,0,False
ETTh1,48,softsign_all,act=softsign|enc=softsign|dec=softsign|out=linear|a=0|lee=1,3,0,False
ETTh1,48,swish_all,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,3,0,False
ETTh1,48,tanh_all,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,3,0,False
ETTh1,48,tanh_all_outtanh,act=tanh|enc=tanh|dec=tanh|out=tanh|a=0|lee=1,3,0,False
ETTh1,48,tanh_sin001_all,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,3,0,False
ETTh1,168,enc_gelu_dec_tanh,act=gelu|enc=gelu|dec=tanh|out=linear|a=0|lee=1,3,3,True
ETTh1,168,enc_tanh_dec_gelu,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,3,3,True
ETTh1,168,gelu_all,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,3,3,True
